City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,illizi,26.4833,8.4667,286.04,39,0,6.61,DZ,1706647353
200,isangel,-19.55,169.2667,297.21,83,61,0.0,VU,1706647353
201,urcos,-13.6861,-71.6228,295.09,61,100,2.65,PE,1706647353
202,lijiang,26.8688,100.2207,270.8,81,1,2.59,CN,1706647353
203,rawlins,41.7911,-107.2387,281.09,53,0,6.17,US,1706647353
204,vila velha,-20.3297,-40.2925,303.12,85,20,3.09,BR,1706647353
205,mil'kovo,55.6078,37.7956,273.42,96,100,1.5,RU,1706647354
206,bassar,9.25,0.7833,300.08,20,81,0.8,TG,1706647354
207,arteche,12.2645,125.4048,298.24,88,100,6.85,PH,1706647354
208,vallegrande,-18.4897,-64.1069,291.51,82,94,2.66,BO,1706647354
209,smithers,54.7804,-127.1743,280.33,70,20,1.03,CA,1706647354
210,enewetak,11.3474,162.3373,299.61,71,79,8.85,MH,1706647355
211,nuku'alofa,-21.1333,-175.2,301.34,89,75,2.06,TO,1706647355
212,badger,64.8,-147.5333,246.08,73,75,0.0,US,1706647355
213,dadukou,26.5479,101.7054,279.77,62,0,1.15,CN,1706647355
214,ordynskoye,54.3656,81.8994,254.76,97,86,2.12,RU,1706647355
215,nemuro,43.3236,145.575,270.48,66,97,3.77,JP,1706647356
216,cobija,-11.0267,-68.7692,303.25,79,75,2.57,BO,1706647356
217,batken,39.8333,71.0,263.46,95,100,0.57,KG,1706647356
218,novaya balakhna,56.4906,43.5919,270.15,96,36,2.71,RU,1706647356
219,manacapuru,-3.2997,-60.6206,304.51,62,99,2.13,BR,1706647356
220,namsos,64.4662,11.4957,278.18,80,40,2.57,NO,1706647214
221,klyuchi,52.2667,79.1667,254.81,94,82,2.7,RU,1706647356
222,riyadh,24.6877,46.7219,293.23,21,48,4.2,SA,1706647165
223,dalandzadgad,43.5708,104.425,254.73,85,6,0.75,MN,1706647357
224,san patricio,28.017,-97.5169,295.2,39,100,1.84,US,1706647357
225,pukchil-lodongjagu,40.2019,125.7483,268.13,86,98,1.07,KP,1706647357
226,zomba,-15.386,35.3188,290.95,76,9,0.99,MW,1706647357
227,the pas,53.8251,-101.2541,278.16,75,0,3.6,CA,1706647358
228,duki,30.1541,68.5728,282.75,49,2,1.41,PK,1706647358
229,antsiranana,-12.2787,49.2917,297.43,91,23,2.44,MG,1706647358
230,emerald,-23.5333,148.1667,297.78,97,100,2.61,AU,1706647358
231,fort mcmurray,56.7268,-111.381,282.88,61,75,5.66,CA,1706647358
232,choele choel,-39.2667,-65.6833,311.79,13,56,6.22,AR,1706647359
233,aginskoye,51.1,114.53,245.41,93,61,2.29,RU,1706647359
234,ierapetra,35.01,25.7353,281.01,76,97,5.36,GR,1706647359
235,merouana,35.6311,5.9119,277.98,82,42,1.69,DZ,1706647359
236,coahuayana de hidalgo,18.7,-103.6583,303.06,56,100,3.7,MX,1706647359
237,antofagasta,-23.65,-70.4,295.75,73,22,5.01,CL,1706647359
238,salida,37.7058,-121.0849,294.76,72,0,2.57,US,1706647157
239,mulayjah,27.271,48.4242,290.27,67,32,3.48,SA,1706647360
240,codrington,-38.2667,141.9667,289.07,73,4,3.87,AU,1706647360
